number,value,datetime_start,datetime_complete,duration,params_D1_freq,params_D1_weight,params_D2_freq,params_D2_weight,params_FSNtoD1_w,params_FSNtoD2_w,params_delay_delta,params_weight_delta,state
49,4.006233653141055,2024-01-26 03:17:30.811394,2024-01-26 03:20:39.754747,0 days 00:03:08.943353,1175.5833580232816,0.4543650037154747,1057.575608867372,0.5071488517409917,5.915114209037154,5.408296247860526,0.3162849769539591,0.8288981146071408,COMPLETE
50,3.8117148798552036,2024-01-26 03:20:24.134974,2024-01-26 03:33:50.364494,0 days 00:13:26.229520,1256.6844516545468,0.4170525599029242,1088.344899835391,0.5323478144637662,6.040449024710934,5.147219296460006,0.38877604099371915,0.8920991856567021,COMPLETE
51,3.0726883074682965,2024-01-26 03:20:24.135673,2024-01-26 03:21:11.369881,0 days 00:00:47.234208,1258.7740225818243,0.5388290448735723,1083.6613639766329,0.5322454621422962,6.224292777461048,5.113517516366986,0.407339397917688,0.9622967950798919,COMPLETE
52,4.837291901285377,2024-01-26 03:20:39.763615,2024-01-26 03:34:06.315206,0 days 00:13:26.551591,1251.282161420362,0.41638972352254355,1091.3563334099779,0.5329953490544884,5.61155404420931,5.153730625795152,0.3903838524947912,0.9629789590508947,COMPLETE
53,2.685868239699639,2024-01-26 03:21:11.421459,2024-01-26 03:34:36.891453,0 days 00:13:25.469994,1254.972256576508,0.5225234014733547,1011.0704430929561,0.4804644640863702,6.035699633445367,5.702700022446795,0.2962301333031614,0.56411686182479,COMPLETE
54,2.9646740259590443,2024-01-26 03:34:06.304805,2024-01-26 03:35:07.292666,0 days 00:01:00.987861,1240.5208729414203,0.5190225928176879,1019.1497333517065,0.4789824888077298,5.618625676774705,5.658916857647101,0.2946254771910167,0.5744303365451983,COMPLETE
55,2.7746440536196326,2024-01-26 03:34:06.325100,2024-01-26 03:34:51.914074,0 days 00:00:45.588974,1215.5930542878352,0.5224975021779809,1012.5329278401448,0.48349229297618723,5.719587857392847,5.686542702287705,0.2960120594954397,0.6029250657678553,COMPLETE
56,2.618532685892515,2024-01-26 03:34:36.940144,2024-01-26 03:35:34.451246,0 days 00:00:57.511102,1238.6910645310895,0.5123218196735532,1030.7789457456581,0.48366548719234925,5.736133184251977,5.694923709290695,0.2923176129709282,0.7383404502361439,COMPLETE
57,2.511517347913741,2024-01-26 03:35:07.296754,2024-01-26 03:36:09.298278,0 days 00:01:02.001524,1288.9653123989324,0.5120087737053775,1042.7691754422515,0.4936249625063068,5.709048146227147,5.724989419587109,0.3541608514691499,0.531944726538204,COMPLETE
58,2.4145572979121783,2024-01-26 03:35:07.309389,2024-01-26 03:36:09.302194,0 days 00:01:01.992805,1290.950746187303,0.5093344906648032,1042.1819593077464,0.4907697570600689,5.721875338268638,5.712310442221151,0.3487408757754811,0.5403501872840863,COMPLETE
59,3.787099884726556,2024-01-26 03:35:34.616307,2024-01-26 03:36:29.477163,0 days 00:00:54.860856,1285.7071212024657,0.5097334313875401,1041.9393540084059,0.4890429381539498,5.821709963162367,5.721231178754948,0.28691906664954364,0.7614739925378061,COMPLETE
60,2.711953229745982,2024-01-26 03:36:09.307310,2024-01-26 03:37:10.702645,0 days 00:01:01.395335,1289.4740488566533,0.49256573961193056,1040.0642972968367,0.4936747108203997,6.050099824728885,5.554848290817398,0.22108990401500903,0.7664938458373981,COMPLETE
61,3.0878829579136737,2024-01-26 03:36:09.319659,2024-01-26 03:37:10.702178,0 days 00:01:01.382519,1289.3892879858304,0.49118170195339483,1043.0112549867877,0.49271622986549174,5.836309927052809,5.549054046487958,0.37675211435769945,0.7718328947750557,COMPLETE
62,3.005330960182733,2024-01-26 03:36:29.478867,2024-01-26 03:37:31.421536,0 days 00:01:01.942669,1291.3370640453697,0.48276097089046544,1038.6256553299397,0.4945289490854114,6.0251424872876775,5.573915516292003,0.342026090080831,0.6331381075155105,COMPLETE
63,3.416698059292365,2024-01-26 03:37:11.564446,2024-01-26 03:38:02.450296,0 days 00:00:50.885850,1299.142403095389,0.4949017536080431,1030.406871137662,0.4693176656232315,6.035552181594925,5.584815797715789,0.21545744932357225,0.633839050745931,COMPLETE
64,3.2551761704203517,2024-01-26 03:37:15.739884,2024-01-26 03:38:32.268742,0 days 00:01:16.528858,1266.010706613362,0.48616879576267413,1031.7131496367535,0.4712493801789296,6.027150234857104,5.573700761776175,0.22903578777962694,0.6650373767558168,COMPLETE
65,3.2163104290366196,2024-01-26 03:37:31.423807,2024-01-26 03:38:32.262834,0 days 00:01:00.839027,1269.8913666286871,0.5109515743443079,1028.4686121402294,0.4688327071695479,5.68315427951549,5.532573914156638,0.22474644640314428,0.871208119096869,COMPLETE
66,3.0424892266425054,2024-01-26 03:38:32.270446,2024-01-26 03:38:51.829770,0 days 00:00:19.559324,1275.028786566481,0.44117588454314044,1050.2226725544444,0.45887245029346707,6.268924903930964,5.7050351185201675,0.2598699082958407,0.714745489347968,COMPLETE
67,3.721289806294861,2024-01-26 03:38:32.278659,2024-01-26 03:39:31.995799,0 days 00:00:59.717140,1278.3030528852564,0.46585114328926447,986.118628147805,0.4561976966874216,6.1996960682465225,5.706014661481675,0.30922580217231355,0.7930639121321219,COMPLETE
68,6.140955751569443,2024-01-26 03:38:32.286319,2024-01-26 03:39:32.004519,0 days 00:00:59.718200,1279.6208481059375,0.506726775241674,985.427659537118,0.4571975691823002,6.229252342862432,5.710518178072977,0.30981176049590897,0.7287538350903089,COMPLETE
69,2.9695274373632774,2024-01-26 03:38:54.515411,2024-01-26 03:39:51.992116,0 days 00:00:57.476705,1281.6349490142627,0.5070514023211246,984.6891850939492,0.49444687989873265,5.875061332317118,5.7996708179407355,0.19469837305318824,0.25465116453467135,COMPLETE
70,2.7936060223204784,2024-01-26 03:39:32.010787,2024-01-26 03:40:33.466746,0 days 00:01:01.455959,1299.2731929936294,0.5332280870404368,1002.8334957923337,0.4941152218609801,5.798333261809936,5.467193293869755,0.1927725356679239,0.4373520976033322,COMPLETE
71,2.5926907094317455,2024-01-26 03:39:32.018622,2024-01-26 03:40:33.895201,0 days 00:01:01.876579,1298.9842838058837,0.5281784565533172,1002.8753727429804,0.49556248193246105,5.817700295976437,5.4881404607126765,0.1954231058368871,0.4535624532732294,COMPLETE
72,4.798954161822973,2024-01-26 03:39:52.869295,2024-01-26 03:40:52.571609,0 days 00:00:59.702314,1298.179964579453,0.5328260550736198,953.3601066952521,0.48476227791785725,5.660503957806538,5.466765869562221,0.26289683743181913,0.45401861883798145,COMPLETE
73,3.5254541726285153,2024-01-26 03:40:34.014251,2024-01-26 03:41:22.842543,0 days 00:00:48.828292,1267.6372676400238,0.5265586016586101,1049.7585038280347,0.42693300232487197,5.66212192432551,5.618178045351308,0.13737916137556722,0.3700707865237194,COMPLETE
74,3.2554598064625067,2024-01-26 03:40:35.005073,2024-01-26 03:41:52.475561,0 days 00:01:17.470488,1267.170015756707,0.5156487867753494,957.7948956019768,0.4855840341182159,5.655562551532324,4.964917224210794,0.3665209000650425,0.5244397391844795,COMPLETE
75,4.141221481868013,2024-01-26 03:40:52.579998,2024-01-26 03:41:37.729236,0 days 00:00:45.149238,1267.4899009495932,0.5151459240952174,1024.2950322980876,0.4369925220998481,5.79980999097565,4.926615847952627,0.14414682438495066,0.36368113366843513,COMPLETE
76,3.3246535589312103,2024-01-26 03:41:22.908507,2024-01-26 03:42:13.512155,0 days 00:00:50.603648,1288.823576697181,0.5160147616511214,1002.3329327838283,0.5044208737878435,5.859755181195551,4.036858197167238,0.3660794382350922,0.5396006917679251,COMPLETE
77,2.7745541337062702,2024-01-26 03:41:52.482023,2024-01-26 03:42:52.948101,0 days 00:01:00.466078,1290.267397469367,0.4962630581590867,1001.6083889414441,0.5083097982939606,5.919558839340317,5.750018689752356,0.3475959845240118,0.4181655092221435,COMPLETE
78,3.293091826545321,2024-01-26 03:41:52.483734,2024-01-26 03:42:38.856358,0 days 00:00:46.372624,1244.0607790630024,0.4964278579022736,1035.5408232181271,0.5054050734357546,5.914825042029118,5.227751069265503,0.352030028563634,0.4146949116260741,COMPLETE
79,2.8001955048210947,2024-01-26 03:42:13.517420,2024-01-26 03:43:15.095424,0 days 00:01:01.578004,1227.8136188441438,0.5411620529569022,1020.9746419136452,0.5234796990444802,5.904623980288593,5.222926687920839,0.2806742911428798,0.4857761557405511,COMPLETE
80,2.6825393410186646,2024-01-26 03:42:52.942382,2024-01-26 03:43:35.885630,0 days 00:00:42.943248,1227.9134119149714,0.5284323701135627,1023.4709336794182,0.5090682081746549,5.709042478029344,5.757843798134136,0.2757944877295013,0.47359826550683687,COMPLETE
81,3.867848057332865,2024-01-26 03:42:52.957412,2024-01-26 03:43:55.128560,0 days 00:01:02.171148,1225.0925883276072,0.542804940090722,1019.827232427264,0.5261409178116255,5.604274738792378,3.8913500789221547,0.2843176846601977,0.4763734426548281,COMPLETE
82,2.5647025634497242,2024-01-26 03:43:16.386584,2024-01-26 03:44:15.777640,0 days 00:00:59.391056,1256.561430958206,0.5285579323870584,1068.8495876103348,0.49885859269659366,5.710249453904943,5.6473657735200415,0.2589760220292614,0.300548914250964,COMPLETE
83,2.587538962427555,2024-01-26 03:43:37.212431,2024-01-26 03:44:55.957453,0 days 00:01:18.745022,1259.7586072661877,0.5287623614844892,1065.9391959811467,0.498685700771372,5.704992289794789,5.757609979578748,0.2549880168864936,0.31477465711963504,COMPLETE
84,2.55661992223397,2024-01-26 03:43:55.133243,2024-01-26 03:44:55.952181,0 days 00:01:00.818938,1256.1494922376335,0.5275926848549715,1052.163068936584,0.49839126844685544,5.705896515983845,5.759229746449565,0.2583516861267247,0.5259984914484873,COMPLETE
85,2.938590108921644,2024-01-26 03:44:18.510733,2024-01-26 03:45:26.577201,0 days 00:01:08.066468,1256.2165597028086,0.5272286438011642,1067.3428773909516,0.5014179785655659,5.710225287464414,5.65439357463528,0.25662407146119603,0.2960371422613697,COMPLETE
86,2.841369638514996,2024-01-26 03:44:55.963906,2024-01-26 03:45:40.478291,0 days 00:00:44.514385,1259.7487416741155,0.5364125479592414,1067.4635685138016,0.4999646135231287,5.783783063409221,5.6428902763055575,0.2544007660141612,0.2925142854161728,COMPLETE
87,2.71121617626037,2024-01-26 03:44:55.965322,2024-01-26 03:45:54.992349,0 days 00:00:59.027027,1253.3592595734028,0.5360847058259187,1070.150631083632,0.4993134045961122,5.788244209676307,5.6667417774293005,0.25410160943146204,0.29945688903248513,COMPLETE
88,3.196713113324534,2024-01-26 03:45:40.446605,2024-01-26 03:46:41.093543,0 days 00:01:00.646938,1273.8926280067126,0.5490969531310738,1053.1753614749691,0.4989232664485848,5.785310431115914,5.762426549576278,0.3358844044592328,0.33232928191671407,COMPLETE
89,3.0498875960993628,2024-01-26 03:45:54.986623,2024-01-26 03:46:41.134119,0 days 00:00:46.147496,1274.239608676069,0.534846175514211,1081.2567423287103,0.5191160891132085,6.659990666734002,5.751132869653886,0.2344342945992705,0.2468790418926138,COMPLETE
90,3.926065867339971,2024-01-26 03:45:55.000291,2024-01-26 03:46:56.391139,0 days 00:01:01.390848,1106.730339994085,0.5040594948766376,1077.097480042021,0.5177293922434253,5.741326476893372,5.760248449681002,0.23241109109588923,0.37782405359245097,COMPLETE
91,3.572345771525388,2024-01-26 03:46:41.117554,2024-01-26 03:47:57.626305,0 days 00:01:16.508751,1234.7282797505786,0.5042900902993414,1059.0842882368117,0.49027808647661253,7.126339152623444,5.362743757383797,0.1585282002060428,0.23355161225231708,COMPLETE
